Name,Status,Neutral,Warehouse,Latitude,Code,Longitude,SubLevel,LocationType,Area,Volume,Level,LWH,LocationStatus,Location
node10388,active,1,5,2,Q7-CEN-10389,1,,2,Q7,100,1,10x10x10,0,SC09 K 05
node10389,active,1,5,2,Q7-CEN-10390,1,,2,Q7,100,1,10x10x10,0,SC09 K 07
node10390,active,1,5,2,Q7-CEN-10391,1,,2,Q7,100,1,10x10x10,0,SC09 K 09
node10391,active,1,5,2,Q7-CEN-10392,1,,2,Q7,100,1,10x10x10,0,SC09 K 11
node10392,active,1,5,2,Q7-CEN-10393,1,,2,Q7,100,1,10x10x10,0,SC09 K 12
node10393,active,1,5,2,Q7-CEN-10394,1,,2,Q7,100,1,10x10x10,0,SC09 K 14
node10394,active,1,5,2,Q7-CEN-10395,1,,2,Q7,100,1,10x10x10,0,SC09 K 16
node10395,active,1,5,2,Q7-CEN-10396,1,,2,Q7,100,1,10x10x10,0,SC09 K 18
node10396,active,1,5,2,Q7-CEN-10397,1,,2,Q7,100,1,10x10x10,0,SC09 K 20
node10397,active,1,5,2,Q7-CEN-10398,1,,2,Q7,100,1,10x10x10,0,SC09 K 22
node10398,active,1,5,2,Q7-CEN-10399,1,,2,Q7,100,1,10x10x10,0,SC10 A 01
node10399,active,1,5,2,Q7-CEN-10400,1,,2,Q7,100,1,10x10x10,1,SC10 A 03
node10400,active,1,5,2,Q7-CEN-10401,1,,2,Q7,100,1,10x10x10,0,SC10 A 05
node10401,active,1,5,2,Q7-CEN-10402,1,,2,Q7,100,1,10x10x10,0,SC10 A 07
node10402,active,1,5,2,Q7-CEN-10403,1,,2,Q7,100,1,10x10x10,0,SC10 A 09
node10403,active,1,5,2,Q7-CEN-10404,1,,2,Q7,100,1,10x10x10,0,SC10 A 11
node10404,active,1,5,2,Q7-CEN-10405,1,,2,Q7,100,1,10x10x10,1,SC10 A 12
node10405,active,1,5,2,Q7-CEN-10406,1,,2,Q7,100,1,10x10x10,0,SC10 A 14
node10406,active,1,5,2,Q7-CEN-10407,1,,2,Q7,100,1,10x10x10,1,SC10 A 16
node10407,active,1,5,2,Q7-CEN-10408,1,,2,Q7,100,1,10x10x10,0,SC10 A 18
node10408,active,1,5,2,Q7-CEN-10409,1,,2,Q7,100,1,10x10x10,0,SC10 A 20
node10409,active,1,5,2,Q7-CEN-10410,1,,2,Q7,100,1,10x10x10,0,SC10 A 22
node10410,active,1,5,2,Q7-CEN-10411,1,,2,Q7,100,1,10x10x10,0,SC10 B 01
node10411,active,1,5,2,Q7-CEN-10412,1,,2,Q7,100,1,10x10x10,0,SC10 B 03
node10412,active,1,5,2,Q7-CEN-10413,1,,2,Q7,100,1,10x10x10,0,SC10 B 05
node10413,active,1,5,2,Q7-CEN-10414,1,,2,Q7,100,1,10x10x10,0,SC10 B 07
node10414,active,1,5,2,Q7-CEN-10415,1,,2,Q7,100,1,10x10x10,1,SC10 B 09
node10415,active,1,5,2,Q7-CEN-10416,1,,2,Q7,100,1,10x10x10,1,SC10 B 11
node10416,active,1,5,2,Q7-CEN-10417,1,,2,Q7,100,1,10x10x10,1,SC10 B 12
node10417,active,1,5,2,Q7-CEN-10418,1,,2,Q7,100,1,10x10x10,1,SC10 B 14
node10418,active,1,5,2,Q7-CEN-10419,1,,2,Q7,100,1,10x10x10,1,SC10 B 16
node10419,active,1,5,2,Q7-CEN-10420,1,,2,Q7,100,1,10x10x10,1,SC10 B 18
node10420,active,1,5,2,Q7-CEN-10421,1,,2,Q7,100,1,10x10x10,0,SC10 B 20
node10421,active,1,5,2,Q7-CEN-10422,1,,2,Q7,100,1,10x10x10,1,SC10 B 22
node10422,active,1,5,2,Q7-CEN-10423,1,,2,Q7,100,1,10x10x10,0,SC10 C 01
node10423,active,1,5,2,Q7-CEN-10424,1,,2,Q7,100,1,10x10x10,0,SC10 C 03
node10424,active,1,5,2,Q7-CEN-10425,1,,2,Q7,100,1,10x10x10,0,SC10 C 05
node10425,active,1,5,2,Q7-CEN-10426,1,,2,Q7,100,1,10x10x10,1,SC10 C 07
node10426,active,1,5,2,Q7-CEN-10427,1,,2,Q7,100,1,10x10x10,0,SC10 C 09
node10427,active,1,5,2,Q7-CEN-10428,1,,2,Q7,100,1,10x10x10,0,SC10 C 11
node10428,active,1,5,2,Q7-CEN-10429,1,,2,Q7,100,1,10x10x10,0,SC10 C 12
node10429,active,1,5,2,Q7-CEN-10430,1,,2,Q7,100,1,10x10x10,1,SC10 C 14
node10430,active,1,5,2,Q7-CEN-10431,1,,2,Q7,100,1,10x10x10,1,SC10 C 16
node10431,active,1,5,2,Q7-CEN-10432,1,,2,Q7,100,1,10x10x10,0,SC10 C 18
node10432,active,1,5,2,Q7-CEN-10433,1,,2,Q7,100,1,10x10x10,0,SC10 C 20
node10433,active,1,5,2,Q7-CEN-10434,1,,2,Q7,100,1,10x10x10,1,SC10 C 22
node10434,active,1,5,2,Q7-CEN-10435,1,,2,Q7,100,1,10x10x10,0,SC10 D 01
