Latitude,Longitude,Neutral,Code,Name,Type,SubNode,Warehouse,Area,Status,Level,Guid,Node
2,18,1,CEN-DN-105,node104,bin,a,41,Room 0,active,2,6e108ca0-1acd-4fd8-990e-1ccc1d83e2d1,root
2,19,1,CEN-DN-106,node105,bin,a,41,Room 0,active,2,2099bd22-94ae-4370-87b9-430a51d47588,root
2,20,1,CEN-DN-107,node106,bin,a,41,Room 0,active,2,a3a2a47f-8666-49f1-a0cb-ef8b8adf25b6,root
2,21,1,CEN-DN-108,node107,bin,a,41,Room 0,active,2,0c1c8e43-df50-47bd-9bbd-1d71f3d7bf03,root
2,22,1,CEN-DN-109,node108,bin,a,41,Room 0,active,2,3d7b414b-1769-4389-ab2c-17b236fc5857,root
2,23,1,CEN-DN-110,node109,bin,a,41,Room 0,active,2,16c38471-a3a0-47ee-b2d6-99f95ef4dfb8,root
2,24,1,CEN-DN-111,node110,bin,a,41,Room 0,active,2,55897299-b89f-456c-b646-d30ecb829108,root
2,25,1,CEN-DN-112,node111,bin,a,41,Room 0,active,2,21f407c3-a5a7-4ad3-a850-793cccd1ab96,root
2,26,1,CEN-DN-113,node112,bin,a,41,Room 0,active,2,d8d2893b-a803-41d3-b867-f70ad4802974,root
2,27,1,CEN-DN-114,node113,bin,a,41,Room 0,active,2,deca3663-cbd2-4af0-8745-662a40154ee4,root
2,28,1,CEN-DN-115,node114,bin,a,41,Room 0,active,2,7fca3c3d-4d32-41df-bfad-6c14a1eb6c31,root
2,29,1,CEN-DN-116,node115,bin,a,41,Room 0,active,2,d10816b7-0932-4e9a-8803-6cdb427da440,root
2,30,1,CEN-DN-117,node116,bin,a,41,Room 0,active,2,35b022f1-46e2-4540-adb3-9664fc3b4094,root
2,31,1,CEN-DN-118,node117,bin,a,41,Room 0,active,2,f7da69d2-8976-459b-aef7-3258e73229f4,root
2,32,1,CEN-DN-119,node118,bin,a,41,Room 0,active,2,6694c342-c02e-4686-886e-89af65e51457,root
2,33,1,CEN-DN-120,node119,bin,a,41,Room 0,active,2,c86e489c-5309-435f-859b-761afae4b6f7,root
2,34,1,CEN-DN-121,node120,bin,a,41,Room 0,active,2,f3a35770-24e2-491f-a74e-0271c7287231,root
2,35,1,CEN-DN-122,node121,bin,a,41,Room 0,active,2,dead884a-8327-42e1-bd24-fc2f8714cb1a,root
