Id,Status,Neutral,Warehouse,Code,Type,Area,SubNode,Latitude,Longitude,LevelId,LevelName,RegionId,RegionName
96,active,1,02,ws-,bin,Area96,[],41,1,1,Floor1,1,warehouse 1
97,active,1,02,ws-,bin,Area97,[],42,1,1,Floor1,1,warehouse 1
98,active,1,02,ws-,bin,Area98,[],43,1,1,Floor1,1,warehouse 1
99,active,1,02,ws-,bin,Area99,[],44,1,1,Floor1,1,warehouse 1
100,active,1,02,ws-,bin,Area100,[],45,1,1,Floor1,1,warehouse 1
101,active,1,02,ws-,bin,Area101,[],46,1,1,Floor1,1,warehouse 1
102,active,1,02,ws-,bin,Area102,[],47,1,1,Floor1,1,warehouse 1
103,active,1,02,ws-,bin,Area103,[],48,1,1,Floor1,1,warehouse 1
104,active,1,02,ws-,bin,Area104,[],49,1,1,Floor1,1,warehouse 1
105,active,1,02,ws-,bin,Area105,[],50,1,1,Floor1,1,warehouse 1
106,active,1,02,ws-,bin,Area106,[],51,1,1,Floor1,1,warehouse 1
107,active,1,02,ws-,bin,Area107,[],52,1,1,Floor1,1,warehouse 1
108,active,1,02,ws-,bin,Area108,[],53,1,1,Floor1,1,warehouse 1
109,active,1,02,ws-,bin,Area109,[],0,2,1,Floor1,1,warehouse 1
110,active,1,02,ws-,bin,Area110,[],1,2,1,Floor1,1,warehouse 1
111,active,1,02,ws-,bin,Area111,[],2,2,1,Floor1,1,warehouse 1
112,active,1,02,ws-,bin,Area112,[],3,2,1,Floor1,1,warehouse 1
113,active,1,02,ws-,bin,Area113,[],4,2,1,Floor1,1,warehouse 1
114,active,1,02,ws-,bin,Area114,[],5,2,1,Floor1,1,warehouse 1
115,active,1,02,ws-,bin,Area115,[],6,2,1,Floor1,1,warehouse 1
116,active,1,02,ws-,bin,Area116,[],7,2,1,Floor1,1,warehouse 1
117,active,1,02,ws-,bin,Area117,[],8,2,1,Floor1,1,warehouse 1
118,active,1,02,ws-,bin,Area118,[],9,2,1,Floor1,1,warehouse 1
119,active,1,02,ws-,bin,Area119,[],10,2,1,Floor1,1,warehouse 1
120,active,1,02,ws-,bin,Area120,[],11,2,1,Floor1,1,warehouse 1
121,active,1,02,ws-,bin,Area121,[],12,2,1,Floor1,1,warehouse 1
